unit_id,display_name,max_hp,movement_speed,damage,scrap_cost,explanation_blurb
melee_template,Frontline Fighter,10,40,2,2,Standard melee unit that closes distance and strikes in a short arc.
basic_chaff,Chaff Swarm,2,60,2,1,Fragile but fast filler units meant to clog the battlefield. Terrifying Damage output when massed.
ranged_template,Ranged Skirmisher,5,35,1,2,Keeps distance and plinks targets from afar.
splash_template,Splash Artillery,5,20,1,2,Lobs physical projectiles that splash on impact.
arc_template,Arc Cleaver,10,45,2,2,Sweeps a wide arc in front of the unit to hit multiple foes.
arc_launcher,Arc Launcher,5,35,1,2,Fires an arc-shaped strike at the end of an aiming line.
sniper_unit,Sniper,5,30,10,4,"Extremely long range and high damage, slow and fragile."
bruiser_unit,Bruiser,30,80,4,5,"Fast, tanky melee fighter whose strikes splash all enemies in melee range."
exploder_unit,Exploder,28,90,3,5,"Fast durable melee fighter that detonates in a splash when destroyed."
router_unit,Router,20,35,1,4,"Core of an army. Make sure to protect to avoid being debuffed."
static_router_unit,Static Router,40,0,1,0,"Stationary core of an army. High Value target."
railgun_unit,Railgun Skirmisher,5,30,8,4,Fires a fast slug that pierces through one foe and stops on the next.
battering_ram,Battering Ram,45,28,4,5,Siege unit that marches on player routers and only reverts to normal targeting once they are gone.
factory,Factory,100,30,3,0,Last-stand structure representing player health.
